productCode,gross_weight,net_weight,product_type,selling_price
18BGL02277,11.05,11.05,18BGL,21.07
18BGL02344,9.5,9.5,18BGL,5
21BRL01016,16.38,16.38,21KBRL,14.62
21BRL01017,14.85,14.85,21KBRL,14.62
18BRL04878,3.16,3.16,18BRL,21.07
18BRL04855,2.03,2.03,18BRL,21.07
18RNG09381,1.56,1.56,18RNG,21.07
18RNG09428,2.75,2.75,18RNG,21.07
18RNG09530,8.98,8.98,18RNG,21.07
18RNG09635,4.49,4.49,18RNG,21.07
18RNG09736,1.16,1.16,18RNG,21.07
18RNG09796,3.63,3.63,18RNG,21.07
18RNG10208,1.7,1.7,18RNG,20
18CHN15143,3.86,3.86,18CHN,13.5
18BRL05063,6.05,6.05,18BRL,18
18CHN15014,0.84,0.84,18CHN,17
18CHN15275,15.64,15.64,18CHN,21.07
18CHN15333,3.52,3.52,18CHN,21.07
21ERS01755,9.44,9.44,21KERS,14.62
21BRL01082,11.92,11.92,21KBRL,14.62
21CHN01703,48.06,48.06,21KCHN,14.62
21CHN01754,5.43,5.43,21KCHN,14.62
18CHN15420,11.59,11.59,18CHN,21.07
18BRL05108,6.82,6.82,18BRL,21.07
18BRL05102,19.97,19.97,18BRL,21.07
18RNG10240,2.96,2.96,18RNG,21.07
18PND15923,12.27,12.27,18PND,21.07
18BGL02518,30.4,30.4,18BGL,21.07
18BGL02537,27.86,27.86,18BGL,21.07
18BGL02546,26.49,26.49,18BGL,21.07
18ERS15881,5.83,5.83,18ERS,25
18BRL05197,13.43,13.43,18BRL,25
18PND15949,7.96,7.96,18PND,21.07
18BRL05318,8.4,8.4,18BRL,20
18BRL05315,0.98,0.98,18BRL,23
18CHN16039,7.77,7.77,18CHN,21.07
18ERS16385,11.22,11.22,18ERS,21.07
18ERS16386,12.92,12.92,18ERS,21.07
21BRL01155,15,15,21KBRL,14.62
18BRL06202,0.33,0.33,18BRL,0
18CHN16894,0.98,0.98,18CHN,21.07
18CHN16890,0.96,0.96,18CHN,21.07
18BGL02717,9.16,9.16,18BGL,19
21CHN02000,3.05,3.05,21KCHN,10
18CHN17121,5.4,5.4,18CHN,21.07
18CHN17166,11.28,11.28,18CHN,25
18CHN17302,1.61,1.61,18CHN,16.5
21PND01466,1.67,1.67,21KPND,14.62
21PND01469,10.15,10.15,21KPND,14.62
21CHN02189,28.48,28.48,21KCHN,18.5
21RNG02664,4.6,4.6,21KRNG,18.5
21BRL01496,12.67,12.67,21KBRL,18.5
21BRL01494,13.86,13.86,21KBRL,18.5
21BRL01492,14.01,14.01,21KBRL,18.5
18BGL02846,14.75,14.75,18BGL,19
18BGL02851,6.05,6.05,18BGL,19
21PND01526,3.13,3.13,21KPND,12
18BGL02890,10.13,10.13,18BGL,18
18BRL06765,6.1,6.1,18BRL,25
18BRL06903,0.77,0.77,18BRL,32
18BGL02920,12.42,12.42,18BGL,0
18BRL07030,1.22,1.22,18BRL,21
18CHN17968,5.67,5.67,18CHN,19
18CHN17963,12.55,12.55,18CHN,19
18CHN17957,9.27,9.27,18CHN,19
21BRL01545,2.39,2.39,21KBRL,10.04
