productCode,gross_weight,net_weight,product_type,selling_price
18BGL02228,21.51,21.51,18BGL,21.07
18BGL02237,16.42,16.42,18BGL,21.07
18BGL02231,22.59,22.59,18BGL,21.07
18BGL02229,8.46,8.46,18BGL,21.07
18BGL02238,13.16,13.16,18BGL,21.07
18BGL02242,11.73,11.73,18BGL,21.07
18BGL02226,7.66,7.66,18BGL,21.07
18BGL02230,11.13,11.13,18BGL,21.07
18BGL02133,20.84,20.84,18BGL,21.07
18BGL02250,11.52,11.52,18BGL,21.07
18BGL02236,8.54,8.54,18BGL,21.07
18BGL02247,16,16,18BGL,21.07
18BGL02255,21.18,21.18,18BGL,21.07
18BGL02227,15.78,15.78,18BGL,21.07
18BGL02232,4.34,4.34,18BGL,21.07
18BGL02239,7.61,7.61,18BGL,21.07
18BGL02234,9.27,9.27,18BGL,21.07
18BGL02134,15.52,15.52,18BGL,21.07
18BGL02248,12.33,12.33,18BGL,21.07
18BGL02240,11.3,11.3,18BGL,21.07
18BGL02256,10.12,10.12,18BGL,21.07
18BGL02252,11.36,11.36,18BGL,21.07
18BGL02251,13.13,13.13,18BGL,21.07
18BGL02225,16.9,16.9,18BGL,21.07
18BGL02235,10.09,10.09,18BGL,21.07
18BGL02243,6.64,6.64,18BGL,21.07
18BGL02259,8.51,8.51,18BGL,21.07
18BGL02261,7.36,7.36,18BGL,21.07
18BGL02260,12.83,12.83,18BGL,21.07
18BGL02137,19.61,19.61,18BGL,21.07
18BGL02262,4.62,4.62,18BGL,21.07
18BGL02264,6.79,6.79,18BGL,21.07
18BGL02279,2.49,2.49,18BGL,21.07
18BGL02273,8.22,8.22,18BGL,21.07
18BGL02276,3.96,3.96,18BGL,21.07
18BGL02266,14.6,14.6,18BGL,21.07
18BGL02287,12.3,12.3,18BGL,21.07
18BGL02298,12.49,12.49,18BGL,21.07
18BGL02275,8.17,8.17,18BGL,21.07
18BGL02286,8.88,8.88,18BGL,21.07
18BGL02280,2.91,2.91,18BGL,21.07
18BGL02288,6.24,6.24,18BGL,21.07
18BGL02293,3.82,3.82,18BGL,21.07
18BGL02290,7.22,7.22,18BGL,21.07
18BGL02285,8.9,8.9,18BGL,21.07
18BGL02296,10.54,10.54,18BGL,21.07
18BGL02295,3.64,3.64,18BGL,21.07
18BGL02268,10.75,10.75,18BGL,21.07
18BGL02278,19.73,19.73,18BGL,21.07
18BGL02270,8.4,8.4,18BGL,21.07
18BGL02139,15.52,15.52,18BGL,21.07
18BGL02289,9.81,9.81,18BGL,21.07
18BGL02267,8.51,8.51,18BGL,21.07
18BGL02140,14.24,14.24,18BGL,21.07
18BGL02269,8.53,8.53,18BGL,21.07
18BGL02291,10.27,10.27,18BGL,21.07
18BGL02281,4.32,4.32,18BGL,21.07
18BGL02282,15.59,15.59,18BGL,21.07
18BGL02294,8.9,8.9,18BGL,21.07
18BGL02301,14.08,14.08,18BGL,21.07
18BGL02300,11.22,11.22,18BGL,21.07
18BGL02299,15.13,15.13,18BGL,21.07
18BGL02302,12.89,12.89,18BGL,21.07
18BGL02303,11.72,11.72,18BGL,21.07
18BGL02304,5.52,5.52,18BGL,21.07
18BGL02305,10.57,10.57,18BGL,21.07
18BGL02306,8.62,8.62,18BGL,21.07
18BGL02307,8.62,8.62,18BGL,21.07
18BGL02308,13.76,13.76,18BGL,21.07
18BGL02310,7.5,7.5,18BGL,21.07
18BGL02309,9.3,9.3,18BGL,21.07
18BGL02311,2.85,2.85,18BGL,21.07
18BGL02312,8.1,8.1,18BGL,21.07
18BGL02314,10.43,10.43,18BGL,21.07
18BGL02313,14.49,14.49,18BGL,21.07
18BGL02315,8.01,8.01,18BGL,21.07
18BGL02316,7.57,7.57,18BGL,21.07
18BGL02319,8.63,8.63,18BGL,21.07
18BGL02321,6.68,6.68,18BGL,21.07
18BGL02320,10.53,10.53,18BGL,21.07
18BGL02318,7.59,7.59,18BGL,21.07
18BGL02323,4.5,4.5,18BGL,21.07
18BGL02324,12.46,12.46,18BGL,21.07
18BGL02125,9.24,9.24,18BGL,21.07
18BGL02325,12.83,12.83,18BGL,21.07
18BGL02327,15.97,15.97,18BGL,21.07
18BGL02328,12.48,12.48,18BGL,19
18BGL02330,14.88,14.88,18BGL,19
18BGL02331,14.35,14.35,18BGL,19
18BGL02336,10.25,10.25,18BGL,5
18BGL02144,13.73,13.73,18BGL,21.07
18BGL02340,9.79,9.79,18BGL,5
18BGL02345,9.09,9.09,18BGL,5
18BGL02343,10.03,10.03,18BGL,5
18BGL02349,14.64,14.64,18BGL,21.07
18BGL02348,15.97,15.97,18BGL,21.07
18BGL02352,15.34,15.34,18BGL,21.07
18BGL02146,11.84,11.84,18BGL,21.07
18BGL02354,12,12,18BGL,21.07
18BGL02358,9.53,9.53,18BGL,21.07
18BGL02357,16.37,16.37,18BGL,21.07
18BGL02359,11.66,11.66,18BGL,21.07
18BGL02362,16.1,16.1,18BGL,21.07
18BGL02363,14.28,14.28,18BGL,21.07
18BGL02147,18.25,18.25,18BGL,21.07
18BGL02367,18.22,18.22,18BGL,21.07
18BGL02368,11.85,11.85,18BGL,21.07
18BGL02369,16.32,16.32,18BGL,21.07
18BGL02370,5.97,5.97,18BGL,21.07
18BGL02372,12.13,12.13,18BGL,21.07
18BGL02148,12.07,12.07,18BGL,21.07
18BGL02373,7.15,7.15,18BGL,21.07
18BGL02374,16.15,16.15,18BGL,21.07
18BGL02376,8.77,8.77,18BGL,21.07
18BGL02379,8.83,8.83,18BGL,21.07
18BGL02377,7.22,7.22,18BGL,21.07
18BRL04482,16.19,16.19,18BRL,19
18BRL04485,13.7,13.7,18BRL,19
18BRL04483,17.81,17.81,18BRL,19
18BRL04484,14.07,14.07,18BRL,19
18BRL04486,0.73,0.73,18BRL,19
18BRL04490,0.73,0.73,18BRL,19
18BRL04495,0.7,0.7,18BRL,19
18BRL04496,0.82,0.82,18BRL,19
18BRL04498,11.36,11.36,18BRL,17
18BRL04500,11.33,11.33,18BRL,21.07
18BGL02151,11.3,11.3,18BGL,21.07
18BRL04507,18.54,18.54,18BRL,21.07
18BRL04508,14.6,14.6,18BRL,21.07
18BRL04509,15.11,15.11,18BRL,21.07
18BRL04510,18.74,18.74,18BRL,21.07
18BRL04519,25.59,25.59,18BRL,21.07
18BRL04524,11.46,11.46,18BRL,21.07
18BRL04522,15.88,15.88,18BRL,21.07
18BRL04526,17.21,17.21,18BRL,21.07
18BGL02153,11.7,11.7,18BGL,21.07
18BRL04528,11.28,11.28,18BRL,21.07
18BRL04527,7.51,7.51,18BRL,21.07
18BRL04538,6.53,6.53,18BRL,21.07
18BRL04539,10.45,10.45,18BRL,21.07
18BRL04544,15.31,15.31,18BRL,21.07
18BGL02155,12.2,12.2,18BGL,21.07
18BRL04546,13.61,13.61,18BRL,21.07
